Epoch: [57/100], cls_loss: 0.2873, transfer_loss: 0.1506, total_Loss: 0.3626, acc: 0.6273
Epoch: [58/100], cls_loss: 0.2352, transfer_loss: 0.1488, total_Loss: 0.3097, acc: 0.6177
Epoch: [59/100], cls_loss: 0.2655, transfer_loss: 0.1465, total_Loss: 0.3388, acc: 0.6209
Epoch: [60/100], cls_loss: 0.2867, transfer_loss: 0.1460, total_Loss: 0.3598, acc: 0.6223
Epoch: [61/100], cls_loss: 0.2529, transfer_loss: 0.1449, total_Loss: 0.3253, acc: 0.6145
Epoch: [62/100], cls_loss: 0.2479, transfer_loss: 0.1405, total_Loss: 0.3181, acc: 0.6205
Epoch: [63/100], cls_loss: 0.2328, transfer_loss: 0.1411, total_Loss: 0.3033, acc: 0.6205
Epoch: [64/100], cls_loss: 0.1826, transfer_loss: 0.1406, total_Loss: 0.2529, acc: 0.6184
Epoch: [65/100], cls_loss: 0.2200, transfer_loss: 0.1397, total_Loss: 0.2899, acc: 0.6223
Epoch: [66/100], cls_loss: 0.1863, transfer_loss: 0.1350, total_Loss: 0.2538, acc: 0.6226
Epoch: [67/100], cls_loss: 0.1966, transfer_loss: 0.1353, total_Loss: 0.2643, acc: 0.6198
Epoch: [68/100], cls_loss: 0.2139, transfer_loss: 0.1327, total_Loss: 0.2802, acc: 0.6180
Epoch: [69/100], cls_loss: 0.2126, transfer_loss: 0.1310, total_Loss: 0.2781, acc: 0.6308
Epoch: [70/100], cls_loss: 0.1956, transfer_loss: 0.1297, total_Loss: 0.2605, acc: 0.6255
Epoch: [71/100], cls_loss: 0.1967, transfer_loss: 0.1278, total_Loss: 0.2606, acc: 0.6209
Epoch: [72/100], cls_loss: 0.1891, transfer_loss: 0.1245, total_Loss: 0.2513, acc: 0.6262
Epoch: [73/100], cls_loss: 0.1918, transfer_loss: 0.1243, total_Loss: 0.2540, acc: 0.6269
Epoch: [74/100], cls_loss: 0.2313, transfer_loss: 0.1235, total_Loss: 0.2930, acc: 0.6195
Epoch: [75/100], cls_loss: 0.2017, transfer_loss: 0.1224, total_Loss: 0.2629, acc: 0.6177
Epoch: [76/100], cls_loss: 0.1967, transfer_loss: 0.1207, total_Loss: 0.2570, acc: 0.6230
Epoch: [77/100], cls_loss: 0.1780, transfer_loss: 0.1228, total_Loss: 0.2394, acc: 0.6237
Epoch: [78/100], cls_loss: 0.1832, transfer_loss: 0.1173, total_Loss: 0.2419, acc: 0.6219
Epoch: [79/100], cls_loss: 0.1955, transfer_loss: 0.1176, total_Loss: 0.2543, acc: 0.6226
Epoch: [80/100], cls_loss: 0.1528, transfer_loss: 0.1170, total_Loss: 0.2113, acc: 0.6187
Epoch: [81/100], cls_loss: 0.1889, transfer_loss: 0.1150, total_Loss: 0.2464, acc: 0.6251
Epoch: [82/100], cls_loss: 0.1866, transfer_loss: 0.1122, total_Loss: 0.2427, acc: 0.6223
Epoch: [83/100], cls_loss: 0.1914, transfer_loss: 0.1105, total_Loss: 0.2466, acc: 0.6276
Epoch: [84/100], cls_loss: 0.1357, transfer_loss: 0.1104, total_Loss: 0.1909, acc: 0.6273
Epoch: [85/100], cls_loss: 0.1759, transfer_loss: 0.1123, total_Loss: 0.2320, acc: 0.6333
Epoch: [86/100], cls_loss: 0.1802, transfer_loss: 0.1108, total_Loss: 0.2356, acc: 0.6326
Epoch: [87/100], cls_loss: 0.1875, transfer_loss: 0.1096, total_Loss: 0.2423, acc: 0.6251
Epoch: [88/100], cls_loss: 0.1475, transfer_loss: 0.1072, total_Loss: 0.2010, acc: 0.6276
Epoch: [89/100], cls_loss: 0.1429, transfer_loss: 0.1070, total_Loss: 0.1964, acc: 0.6219
Epoch: [90/100], cls_loss: 0.1682, transfer_loss: 0.1060, total_Loss: 0.2212, acc: 0.6262
Epoch: [91/100], cls_loss: 0.1615, transfer_loss: 0.1091, total_Loss: 0.2160, acc: 0.6266
Epoch: [92/100], cls_loss: 0.1701, transfer_loss: 0.1059, total_Loss: 0.2231, acc: 0.6308
Epoch: [93/100], cls_loss: 0.1299, transfer_loss: 0.1041, total_Loss: 0.1819, acc: 0.6312
Epoch: [94/100], cls_loss: 0.1947, transfer_loss: 0.1032, total_Loss: 0.2463, acc: 0.6276
Epoch: [95/100], cls_loss: 0.1404, transfer_loss: 0.1038, total_Loss: 0.1923, acc: 0.6283
Epoch: [96/100], cls_loss: 0.1464, transfer_loss: 0.1057, total_Loss: 0.1992, acc: 0.6283
Epoch: [97/100], cls_loss: 0.1507, transfer_loss: 0.1030, total_Loss: 0.2022, acc: 0.6326
Epoch: [98/100], cls_loss: 0.1729, transfer_loss: 0.1012, total_Loss: 0.2235, acc: 0.6290
Epoch: [99/100], cls_loss: 0.1267, transfer_loss: 0.1026, total_Loss: 0.1780, acc: 0.6283
