Epoch: [57/100], cls_loss: 0.3033, transfer_loss: 0.1576, total_Loss: 0.3821, acc: 0.9119
Epoch: [58/100], cls_loss: 0.3028, transfer_loss: 0.1575, total_Loss: 0.3816, acc: 0.9132
Epoch: [59/100], cls_loss: 0.2825, transfer_loss: 0.1573, total_Loss: 0.3611, acc: 0.9082
Epoch: [60/100], cls_loss: 0.2320, transfer_loss: 0.1557, total_Loss: 0.3099, acc: 0.9195
Epoch: [61/100], cls_loss: 0.2988, transfer_loss: 0.1524, total_Loss: 0.3749, acc: 0.9119
Epoch: [62/100], cls_loss: 0.2652, transfer_loss: 0.1515, total_Loss: 0.3410, acc: 0.9094
Epoch: [63/100], cls_loss: 0.2548, transfer_loss: 0.1520, total_Loss: 0.3308, acc: 0.9170
Epoch: [64/100], cls_loss: 0.2082, transfer_loss: 0.1513, total_Loss: 0.2838, acc: 0.9208
Epoch: [65/100], cls_loss: 0.2179, transfer_loss: 0.1467, total_Loss: 0.2913, acc: 0.9119
Epoch: [66/100], cls_loss: 0.2518, transfer_loss: 0.1447, total_Loss: 0.3241, acc: 0.9170
Epoch: [67/100], cls_loss: 0.2361, transfer_loss: 0.1457, total_Loss: 0.3090, acc: 0.9145
Epoch: [68/100], cls_loss: 0.2279, transfer_loss: 0.1450, total_Loss: 0.3005, acc: 0.9233
Epoch: [69/100], cls_loss: 0.1979, transfer_loss: 0.1433, total_Loss: 0.2696, acc: 0.9245
Epoch: [70/100], cls_loss: 0.1889, transfer_loss: 0.1399, total_Loss: 0.2589, acc: 0.9220
Epoch: [71/100], cls_loss: 0.1985, transfer_loss: 0.1387, total_Loss: 0.2679, acc: 0.9233
Epoch: [72/100], cls_loss: 0.1914, transfer_loss: 0.1366, total_Loss: 0.2597, acc: 0.9195
Epoch: [73/100], cls_loss: 0.2059, transfer_loss: 0.1348, total_Loss: 0.2733, acc: 0.9220
Epoch: [74/100], cls_loss: 0.1901, transfer_loss: 0.1329, total_Loss: 0.2565, acc: 0.9220
Epoch: [75/100], cls_loss: 0.1911, transfer_loss: 0.1349, total_Loss: 0.2585, acc: 0.9270
Epoch: [76/100], cls_loss: 0.2120, transfer_loss: 0.1309, total_Loss: 0.2774, acc: 0.9245
Epoch: [77/100], cls_loss: 0.1891, transfer_loss: 0.1300, total_Loss: 0.2541, acc: 0.9283
Epoch: [78/100], cls_loss: 0.1934, transfer_loss: 0.1286, total_Loss: 0.2576, acc: 0.9258
Epoch: [79/100], cls_loss: 0.1454, transfer_loss: 0.1272, total_Loss: 0.2090, acc: 0.9258
Epoch: [80/100], cls_loss: 0.1648, transfer_loss: 0.1247, total_Loss: 0.2272, acc: 0.9270
Epoch: [81/100], cls_loss: 0.1610, transfer_loss: 0.1227, total_Loss: 0.2224, acc: 0.9308
Epoch: [82/100], cls_loss: 0.1590, transfer_loss: 0.1218, total_Loss: 0.2199, acc: 0.9296
Epoch: [83/100], cls_loss: 0.1458, transfer_loss: 0.1208, total_Loss: 0.2062, acc: 0.9308
Epoch: [84/100], cls_loss: 0.1736, transfer_loss: 0.1191, total_Loss: 0.2332, acc: 0.9346
Epoch: [85/100], cls_loss: 0.1351, transfer_loss: 0.1187, total_Loss: 0.1945, acc: 0.9283
Epoch: [86/100], cls_loss: 0.1562, transfer_loss: 0.1172, total_Loss: 0.2148, acc: 0.9321
Epoch: [87/100], cls_loss: 0.1440, transfer_loss: 0.1148, total_Loss: 0.2014, acc: 0.9308
Epoch: [88/100], cls_loss: 0.1462, transfer_loss: 0.1150, total_Loss: 0.2037, acc: 0.9308
Epoch: [89/100], cls_loss: 0.1806, transfer_loss: 0.1144, total_Loss: 0.2378, acc: 0.9321
Epoch: [90/100], cls_loss: 0.1337, transfer_loss: 0.1133, total_Loss: 0.1903, acc: 0.9245
Epoch: [91/100], cls_loss: 0.1504, transfer_loss: 0.1111, total_Loss: 0.2060, acc: 0.9270
Epoch: [92/100], cls_loss: 0.1367, transfer_loss: 0.1119, total_Loss: 0.1927, acc: 0.9270
Epoch: [93/100], cls_loss: 0.1452, transfer_loss: 0.1099, total_Loss: 0.2001, acc: 0.9270
Epoch: [94/100], cls_loss: 0.1444, transfer_loss: 0.1113, total_Loss: 0.2001, acc: 0.9258
Epoch: [95/100], cls_loss: 0.1397, transfer_loss: 0.1064, total_Loss: 0.1929, acc: 0.9296
Epoch: [96/100], cls_loss: 0.1634, transfer_loss: 0.1079, total_Loss: 0.2173, acc: 0.9308
Epoch: [97/100], cls_loss: 0.1205, transfer_loss: 0.1105, total_Loss: 0.1757, acc: 0.9321
Epoch: [98/100], cls_loss: 0.1199, transfer_loss: 0.1072, total_Loss: 0.1735, acc: 0.9321
Epoch: [99/100], cls_loss: 0.1709, transfer_loss: 0.1083, total_Loss: 0.2250, acc: 0.9283
