Epoch: [57/100], cls_loss: 0.9132, transfer_loss: 0.1435, total_Loss: 0.9849, acc: 0.7157
Epoch: [58/100], cls_loss: 0.7806, transfer_loss: 0.1421, total_Loss: 0.8516, acc: 0.7270
Epoch: [59/100], cls_loss: 0.7829, transfer_loss: 0.1422, total_Loss: 0.8540, acc: 0.7119
Epoch: [60/100], cls_loss: 0.8261, transfer_loss: 0.1390, total_Loss: 0.8956, acc: 0.7421
Epoch: [61/100], cls_loss: 0.8101, transfer_loss: 0.1376, total_Loss: 0.8790, acc: 0.7233
Epoch: [62/100], cls_loss: 0.7311, transfer_loss: 0.1332, total_Loss: 0.7977, acc: 0.7283
Epoch: [63/100], cls_loss: 0.8238, transfer_loss: 0.1340, total_Loss: 0.8907, acc: 0.7258
Epoch: [64/100], cls_loss: 0.7337, transfer_loss: 0.1314, total_Loss: 0.7995, acc: 0.7409
Epoch: [65/100], cls_loss: 0.6888, transfer_loss: 0.1292, total_Loss: 0.7535, acc: 0.7333
Epoch: [66/100], cls_loss: 0.7402, transfer_loss: 0.1299, total_Loss: 0.8051, acc: 0.7208
Epoch: [67/100], cls_loss: 0.7219, transfer_loss: 0.1274, total_Loss: 0.7856, acc: 0.7195
Epoch: [68/100], cls_loss: 0.6488, transfer_loss: 0.1257, total_Loss: 0.7116, acc: 0.7094
Epoch: [69/100], cls_loss: 0.6994, transfer_loss: 0.1237, total_Loss: 0.7612, acc: 0.7308
Epoch: [70/100], cls_loss: 0.7011, transfer_loss: 0.1256, total_Loss: 0.7639, acc: 0.7308
Epoch: [71/100], cls_loss: 0.7466, transfer_loss: 0.1198, total_Loss: 0.8065, acc: 0.7308
Epoch: [72/100], cls_loss: 0.7281, transfer_loss: 0.1203, total_Loss: 0.7883, acc: 0.7195
Epoch: [73/100], cls_loss: 0.6994, transfer_loss: 0.1193, total_Loss: 0.7590, acc: 0.7459
Epoch: [74/100], cls_loss: 0.6715, transfer_loss: 0.1171, total_Loss: 0.7300, acc: 0.7283
Epoch: [75/100], cls_loss: 0.6456, transfer_loss: 0.1172, total_Loss: 0.7042, acc: 0.7157
Epoch: [76/100], cls_loss: 0.7144, transfer_loss: 0.1164, total_Loss: 0.7726, acc: 0.7296
Epoch: [77/100], cls_loss: 0.6779, transfer_loss: 0.1142, total_Loss: 0.7350, acc: 0.7384
Epoch: [78/100], cls_loss: 0.6457, transfer_loss: 0.1127, total_Loss: 0.7021, acc: 0.7233
Epoch: [79/100], cls_loss: 0.6264, transfer_loss: 0.1118, total_Loss: 0.6823, acc: 0.7170
Epoch: [80/100], cls_loss: 0.6516, transfer_loss: 0.1133, total_Loss: 0.7083, acc: 0.7170
Epoch: [81/100], cls_loss: 0.7004, transfer_loss: 0.1098, total_Loss: 0.7553, acc: 0.7333
Epoch: [82/100], cls_loss: 0.6006, transfer_loss: 0.1102, total_Loss: 0.6557, acc: 0.7107
Epoch: [83/100], cls_loss: 0.6307, transfer_loss: 0.1084, total_Loss: 0.6849, acc: 0.7346
Epoch: [84/100], cls_loss: 0.6110, transfer_loss: 0.1065, total_Loss: 0.6643, acc: 0.7308
Epoch: [85/100], cls_loss: 0.7108, transfer_loss: 0.1057, total_Loss: 0.7637, acc: 0.7384
Epoch: [86/100], cls_loss: 0.5655, transfer_loss: 0.1111, total_Loss: 0.6210, acc: 0.7283
Epoch: [87/100], cls_loss: 0.6195, transfer_loss: 0.1077, total_Loss: 0.6733, acc: 0.7170
Epoch: [88/100], cls_loss: 0.5968, transfer_loss: 0.1049, total_Loss: 0.6493, acc: 0.7245
Epoch: [89/100], cls_loss: 0.6008, transfer_loss: 0.1045, total_Loss: 0.6530, acc: 0.7371
Epoch: [90/100], cls_loss: 0.6126, transfer_loss: 0.1069, total_Loss: 0.6660, acc: 0.7421
Epoch: [91/100], cls_loss: 0.5092, transfer_loss: 0.1060, total_Loss: 0.5622, acc: 0.7157
Epoch: [92/100], cls_loss: 0.6187, transfer_loss: 0.1049, total_Loss: 0.6711, acc: 0.7308
Epoch: [93/100], cls_loss: 0.6095, transfer_loss: 0.1025, total_Loss: 0.6607, acc: 0.7157
Epoch: [94/100], cls_loss: 0.5578, transfer_loss: 0.1043, total_Loss: 0.6100, acc: 0.7233
Epoch: [95/100], cls_loss: 0.5382, transfer_loss: 0.1013, total_Loss: 0.5889, acc: 0.7333
Epoch: [96/100], cls_loss: 0.5571, transfer_loss: 0.1013, total_Loss: 0.6078, acc: 0.7270
Epoch: [97/100], cls_loss: 0.5662, transfer_loss: 0.0979, total_Loss: 0.6152, acc: 0.7321
Epoch: [98/100], cls_loss: 0.5930, transfer_loss: 0.0991, total_Loss: 0.6425, acc: 0.7107
Epoch: [99/100], cls_loss: 0.5581, transfer_loss: 0.1000, total_Loss: 0.6081, acc: 0.7195
