Epoch: [46/100], transfer_loss: 0.1938, kl_loss: 653.5864, vib_loss: 3.4795, total_Loss: 3.5764, acc: 0.5907
Epoch: [47/100], transfer_loss: 0.1893, kl_loss: 654.6577, vib_loss: 3.5209, total_Loss: 3.6155, acc: 0.5932
Epoch: [48/100], transfer_loss: 0.1956, kl_loss: 625.2510, vib_loss: 3.5553, total_Loss: 3.6530, acc: 0.5950
Epoch: [49/100], transfer_loss: 0.1902, kl_loss: 647.9854, vib_loss: 3.4604, total_Loss: 3.5555, acc: 0.5960
Epoch: [50/100], transfer_loss: 0.1893, kl_loss: 627.2273, vib_loss: 3.5326, total_Loss: 3.6272, acc: 0.5982
Epoch: [51/100], transfer_loss: 0.1921, kl_loss: 618.5649, vib_loss: 3.5930, total_Loss: 3.6891, acc: 0.5875
Epoch: [52/100], transfer_loss: 0.1910, kl_loss: 629.9442, vib_loss: 3.6436, total_Loss: 3.7391, acc: 0.5978
Epoch: [53/100], transfer_loss: 0.1859, kl_loss: 607.2733, vib_loss: 3.6214, total_Loss: 3.7144, acc: 0.6003
Epoch: [54/100], transfer_loss: 0.1879, kl_loss: 603.8300, vib_loss: 3.5054, total_Loss: 3.5993, acc: 0.5974
Epoch: [55/100], transfer_loss: 0.1860, kl_loss: 601.8320, vib_loss: 3.4325, total_Loss: 3.5255, acc: 0.5939
Epoch: [56/100], transfer_loss: 0.1882, kl_loss: 601.6378, vib_loss: 3.6044, total_Loss: 3.6985, acc: 0.5992
Epoch: [57/100], transfer_loss: 0.1916, kl_loss: 592.7582, vib_loss: 3.3680, total_Loss: 3.4638, acc: 0.6049
Epoch: [58/100], transfer_loss: 0.1871, kl_loss: 591.6890, vib_loss: 3.4263, total_Loss: 3.5199, acc: 0.5974
Epoch: [59/100], transfer_loss: 0.1868, kl_loss: 585.4612, vib_loss: 3.4701, total_Loss: 3.5634, acc: 0.5971
Epoch: [60/100], transfer_loss: 0.1817, kl_loss: 590.9398, vib_loss: 3.4290, total_Loss: 3.5199, acc: 0.5999
Epoch: [61/100], transfer_loss: 0.1901, kl_loss: 555.2634, vib_loss: 3.3864, total_Loss: 3.4814, acc: 0.6003
Epoch: [62/100], transfer_loss: 0.1925, kl_loss: 564.9990, vib_loss: 3.4061, total_Loss: 3.5023, acc: 0.5974
Epoch: [63/100], transfer_loss: 0.1834, kl_loss: 575.3611, vib_loss: 3.4972, total_Loss: 3.5889, acc: 0.5989
Epoch: [64/100], transfer_loss: 0.1773, kl_loss: 571.7671, vib_loss: 3.3162, total_Loss: 3.4049, acc: 0.5992
Epoch: [65/100], transfer_loss: 0.1875, kl_loss: 568.8234, vib_loss: 3.3372, total_Loss: 3.4310, acc: 0.5996
Epoch: [66/100], transfer_loss: 0.1891, kl_loss: 534.9347, vib_loss: 3.5929, total_Loss: 3.6875, acc: 0.5971
Epoch: [67/100], transfer_loss: 0.1906, kl_loss: 542.4722, vib_loss: 3.3769, total_Loss: 3.4722, acc: 0.5935
Epoch: [68/100], transfer_loss: 0.1827, kl_loss: 556.6971, vib_loss: 3.4672, total_Loss: 3.5586, acc: 0.5985
Epoch: [69/100], transfer_loss: 0.1868, kl_loss: 545.0216, vib_loss: 3.4754, total_Loss: 3.5688, acc: 0.5942
Epoch: [70/100], transfer_loss: 0.1808, kl_loss: 530.5530, vib_loss: 3.4580, total_Loss: 3.5484, acc: 0.5907
Epoch: [71/100], transfer_loss: 0.1860, kl_loss: 536.9389, vib_loss: 3.1620, total_Loss: 3.2550, acc: 0.5939
Epoch: [72/100], transfer_loss: 0.1785, kl_loss: 546.2749, vib_loss: 3.3103, total_Loss: 3.3995, acc: 0.6017
Epoch: [73/100], transfer_loss: 0.1903, kl_loss: 505.4371, vib_loss: 3.5724, total_Loss: 3.6676, acc: 0.5879
Epoch: [74/100], transfer_loss: 0.1868, kl_loss: 517.3243, vib_loss: 3.4617, total_Loss: 3.5551, acc: 0.5999
Epoch: [75/100], transfer_loss: 0.1840, kl_loss: 500.3518, vib_loss: 3.5608, total_Loss: 3.6528, acc: 0.6006
Epoch: [76/100], transfer_loss: 0.1776, kl_loss: 536.4689, vib_loss: 3.3256, total_Loss: 3.4144, acc: 0.6049
Epoch: [77/100], transfer_loss: 0.1790, kl_loss: 533.6495, vib_loss: 3.2951, total_Loss: 3.3846, acc: 0.5921
Epoch: [78/100], transfer_loss: 0.1885, kl_loss: 512.2302, vib_loss: 3.3516, total_Loss: 3.4458, acc: 0.6045
Epoch: [79/100], transfer_loss: 0.1782, kl_loss: 517.6718, vib_loss: 3.4101, total_Loss: 3.4992, acc: 0.6067
Epoch: [80/100], transfer_loss: 0.1759, kl_loss: 513.1410, vib_loss: 3.2496, total_Loss: 3.3376, acc: 0.5935
Epoch: [81/100], transfer_loss: 0.1848, kl_loss: 510.4465, vib_loss: 3.3053, total_Loss: 3.3977, acc: 0.6045
