Epoch: [46/100], transfer_loss: 0.1693, kl_loss: 1730.7712, vib_loss: 1.6138, total_Loss: 1.6985, acc: 0.6333
Epoch: [47/100], transfer_loss: 0.1686, kl_loss: 1719.1497, vib_loss: 1.5838, total_Loss: 1.6681, acc: 0.6358
Epoch: [48/100], transfer_loss: 0.1693, kl_loss: 1724.7244, vib_loss: 1.5722, total_Loss: 1.6568, acc: 0.6329
Epoch: [49/100], transfer_loss: 0.1670, kl_loss: 1685.9031, vib_loss: 1.6366, total_Loss: 1.7201, acc: 0.6354
Epoch: [50/100], transfer_loss: 0.1676, kl_loss: 1719.9055, vib_loss: 1.5752, total_Loss: 1.6590, acc: 0.6308
Epoch: [51/100], transfer_loss: 0.1705, kl_loss: 1707.9155, vib_loss: 1.5675, total_Loss: 1.6528, acc: 0.6337
Epoch: [52/100], transfer_loss: 0.1686, kl_loss: 1696.8908, vib_loss: 1.5912, total_Loss: 1.6755, acc: 0.6390
Epoch: [53/100], transfer_loss: 0.1689, kl_loss: 1687.7855, vib_loss: 1.5820, total_Loss: 1.6665, acc: 0.6372
Epoch: [54/100], transfer_loss: 0.1692, kl_loss: 1674.2844, vib_loss: 1.6068, total_Loss: 1.6914, acc: 0.6397
Epoch: [55/100], transfer_loss: 0.1684, kl_loss: 1663.7039, vib_loss: 1.5895, total_Loss: 1.6737, acc: 0.6319
Epoch: [56/100], transfer_loss: 0.1711, kl_loss: 1693.8920, vib_loss: 1.5684, total_Loss: 1.6539, acc: 0.6322
Epoch: [57/100], transfer_loss: 0.1691, kl_loss: 1678.2621, vib_loss: 1.5875, total_Loss: 1.6720, acc: 0.6344
Epoch: [58/100], transfer_loss: 0.1691, kl_loss: 1685.8633, vib_loss: 1.5668, total_Loss: 1.6514, acc: 0.6347
Epoch: [59/100], transfer_loss: 0.1698, kl_loss: 1680.9773, vib_loss: 1.5893, total_Loss: 1.6741, acc: 0.6337
Epoch: [60/100], transfer_loss: 0.1680, kl_loss: 1673.4269, vib_loss: 1.5646, total_Loss: 1.6486, acc: 0.6333
Epoch: [61/100], transfer_loss: 0.1672, kl_loss: 1668.9912, vib_loss: 1.5656, total_Loss: 1.6492, acc: 0.6365
Epoch: [62/100], transfer_loss: 0.1693, kl_loss: 1670.4917, vib_loss: 1.5670, total_Loss: 1.6517, acc: 0.6326
Epoch: [63/100], transfer_loss: 0.1684, kl_loss: 1662.8888, vib_loss: 1.5521, total_Loss: 1.6363, acc: 0.6361
Epoch: [64/100], transfer_loss: 0.1672, kl_loss: 1651.3405, vib_loss: 1.5329, total_Loss: 1.6165, acc: 0.6383
Epoch: [65/100], transfer_loss: 0.1675, kl_loss: 1619.4520, vib_loss: 1.5535, total_Loss: 1.6373, acc: 0.6340
Epoch: [66/100], transfer_loss: 0.1669, kl_loss: 1662.5568, vib_loss: 1.5575, total_Loss: 1.6410, acc: 0.6379
Epoch: [67/100], transfer_loss: 0.1700, kl_loss: 1656.7610, vib_loss: 1.5481, total_Loss: 1.6331, acc: 0.6379
Epoch: [68/100], transfer_loss: 0.1710, kl_loss: 1622.1104, vib_loss: 1.5642, total_Loss: 1.6497, acc: 0.6415
Epoch: [69/100], transfer_loss: 0.1690, kl_loss: 1670.2695, vib_loss: 1.5480, total_Loss: 1.6325, acc: 0.6425
Epoch: [70/100], transfer_loss: 0.1672, kl_loss: 1638.3092, vib_loss: 1.5517, total_Loss: 1.6354, acc: 0.6383
Epoch: [71/100], transfer_loss: 0.1683, kl_loss: 1644.3883, vib_loss: 1.5177, total_Loss: 1.6019, acc: 0.6297
Epoch: [72/100], transfer_loss: 0.1696, kl_loss: 1636.5053, vib_loss: 1.5242, total_Loss: 1.6090, acc: 0.6358
Epoch: [73/100], transfer_loss: 0.1696, kl_loss: 1615.0465, vib_loss: 1.5403, total_Loss: 1.6252, acc: 0.6319
Epoch: [74/100], transfer_loss: 0.1696, kl_loss: 1617.1020, vib_loss: 1.5196, total_Loss: 1.6044, acc: 0.6365
Epoch: [75/100], transfer_loss: 0.1692, kl_loss: 1625.2976, vib_loss: 1.5317, total_Loss: 1.6163, acc: 0.6379
Epoch: [76/100], transfer_loss: 0.1695, kl_loss: 1613.4065, vib_loss: 1.5476, total_Loss: 1.6324, acc: 0.6344
Epoch: [77/100], transfer_loss: 0.1696, kl_loss: 1661.3219, vib_loss: 1.4937, total_Loss: 1.5785, acc: 0.6337
Epoch: [78/100], transfer_loss: 0.1693, kl_loss: 1609.1392, vib_loss: 1.5368, total_Loss: 1.6215, acc: 0.6344
Epoch: [79/100], transfer_loss: 0.1677, kl_loss: 1573.2493, vib_loss: 1.5429, total_Loss: 1.6268, acc: 0.6397
Epoch: [80/100], transfer_loss: 0.1695, kl_loss: 1592.6367, vib_loss: 1.5428, total_Loss: 1.6275, acc: 0.6368
Epoch: [81/100], transfer_loss: 0.1676, kl_loss: 1613.2499, vib_loss: 1.5466, total_Loss: 1.6304, acc: 0.6397
Epoch: [82/100], transfer_loss: 0.1667, kl_loss: 1588.8285, vib_loss: 1.5293, total_Loss: 1.6126, acc: 0.6361
Epoch: [83/100], transfer_loss: 0.1688, kl_loss: 1594.7740, vib_loss: 1.5264, total_Loss: 1.6108, acc: 0.6312
Epoch: [84/100], transfer_loss: 0.1678, kl_loss: 1582.1935, vib_loss: 1.5380, total_Loss: 1.6219, acc: 0.6361
Epoch: [85/100], transfer_loss: 0.1706, kl_loss: 1591.1306, vib_loss: 1.5140, total_Loss: 1.5993, acc: 0.6397
Epoch: [86/100], transfer_loss: 0.1680, kl_loss: 1586.3142, vib_loss: 1.5230, total_Loss: 1.6070, acc: 0.6358
Epoch: [87/100], transfer_loss: 0.1680, kl_loss: 1605.0527, vib_loss: 1.5293, total_Loss: 1.6133, acc: 0.6372
Epoch: [88/100], transfer_loss: 0.1681, kl_loss: 1592.6865, vib_loss: 1.5202, total_Loss: 1.6042, acc: 0.6337
Epoch: [89/100], transfer_loss: 0.1694, kl_loss: 1586.3769, vib_loss: 1.5124, total_Loss: 1.5971, acc: 0.6379
Epoch: [90/100], transfer_loss: 0.1681, kl_loss: 1573.5455, vib_loss: 1.5166, total_Loss: 1.6006, acc: 0.6386
Epoch: [91/100], transfer_loss: 0.1692, kl_loss: 1594.0791, vib_loss: 1.5168, total_Loss: 1.6013, acc: 0.6347
Epoch: [92/100], transfer_loss: 0.1674, kl_loss: 1576.4525, vib_loss: 1.5328, total_Loss: 1.6164, acc: 0.6294
Epoch: [93/100], transfer_loss: 0.1691, kl_loss: 1585.7560, vib_loss: 1.5108, total_Loss: 1.5954, acc: 0.6287
Epoch: [94/100], transfer_loss: 0.1695, kl_loss: 1575.3820, vib_loss: 1.4896, total_Loss: 1.5743, acc: 0.6308
Epoch: [95/100], transfer_loss: 0.1718, kl_loss: 1591.5537, vib_loss: 1.4831, total_Loss: 1.5690, acc: 0.6297
Epoch: [96/100], transfer_loss: 0.1673, kl_loss: 1569.7990, vib_loss: 1.4963, total_Loss: 1.5799, acc: 0.6337
Epoch: [97/100], transfer_loss: 0.1691, kl_loss: 1556.2625, vib_loss: 1.5194, total_Loss: 1.6040, acc: 0.6386
Epoch: [98/100], transfer_loss: 0.1677, kl_loss: 1566.3301, vib_loss: 1.4911, total_Loss: 1.5750, acc: 0.6404
Epoch: [99/100], transfer_loss: 0.1694, kl_loss: 1549.8919, vib_loss: 1.5111, total_Loss: 1.5959, acc: 0.6408
