Epoch: [00/100], transfer_loss: 0.1679, kl_loss: 2064.3833, vib_loss: 3.8476, total_Loss: 3.9316, acc: 0.4498
Epoch: [01/100], transfer_loss: 0.1670, kl_loss: 2111.3802, vib_loss: 2.6867, total_Loss: 2.7702, acc: 0.5314
Epoch: [02/100], transfer_loss: 0.1679, kl_loss: 2089.3290, vib_loss: 2.3438, total_Loss: 2.4278, acc: 0.5708
Epoch: [03/100], transfer_loss: 0.1673, kl_loss: 2084.7874, vib_loss: 2.2010, total_Loss: 2.2847, acc: 0.5879
Epoch: [04/100], transfer_loss: 0.1673, kl_loss: 2050.2138, vib_loss: 2.0856, total_Loss: 2.1693, acc: 0.5960
Epoch: [05/100], transfer_loss: 0.1673, kl_loss: 2015.9692, vib_loss: 2.0597, total_Loss: 2.1434, acc: 0.5928
Epoch: [06/100], transfer_loss: 0.1675, kl_loss: 2004.2586, vib_loss: 2.0250, total_Loss: 2.1087, acc: 0.6088
Epoch: [07/100], transfer_loss: 0.1674, kl_loss: 1976.2557, vib_loss: 1.9626, total_Loss: 2.0463, acc: 0.5950
Epoch: [08/100], transfer_loss: 0.1705, kl_loss: 1985.9301, vib_loss: 1.9488, total_Loss: 2.0340, acc: 0.6053
Epoch: [09/100], transfer_loss: 0.1678, kl_loss: 1960.9468, vib_loss: 1.8936, total_Loss: 1.9775, acc: 0.6159
Epoch: [10/100], transfer_loss: 0.1672, kl_loss: 1954.1726, vib_loss: 1.8712, total_Loss: 1.9548, acc: 0.6124
Epoch: [11/100], transfer_loss: 0.1666, kl_loss: 1945.0072, vib_loss: 1.8410, total_Loss: 1.9243, acc: 0.6127
Epoch: [12/100], transfer_loss: 0.1673, kl_loss: 1939.6802, vib_loss: 1.8070, total_Loss: 1.8906, acc: 0.6120
Epoch: [13/100], transfer_loss: 0.1668, kl_loss: 1915.3390, vib_loss: 1.7848, total_Loss: 1.8681, acc: 0.6134
Epoch: [14/100], transfer_loss: 0.1675, kl_loss: 1892.0978, vib_loss: 1.7708, total_Loss: 1.8546, acc: 0.6124
Epoch: [15/100], transfer_loss: 0.1687, kl_loss: 1890.7223, vib_loss: 1.7667, total_Loss: 1.8510, acc: 0.6148
Epoch: [16/100], transfer_loss: 0.1681, kl_loss: 1891.6986, vib_loss: 1.7501, total_Loss: 1.8341, acc: 0.6163
Epoch: [17/100], transfer_loss: 0.1698, kl_loss: 1878.9330, vib_loss: 1.7462, total_Loss: 1.8311, acc: 0.6234
Epoch: [18/100], transfer_loss: 0.1705, kl_loss: 1882.8170, vib_loss: 1.7147, total_Loss: 1.8000, acc: 0.6269
Epoch: [19/100], transfer_loss: 0.1706, kl_loss: 1845.0042, vib_loss: 1.7106, total_Loss: 1.7959, acc: 0.6258
Epoch: [20/100], transfer_loss: 0.1701, kl_loss: 1857.5632, vib_loss: 1.7097, total_Loss: 1.7947, acc: 0.6205
Epoch: [21/100], transfer_loss: 0.1682, kl_loss: 1838.2181, vib_loss: 1.7392, total_Loss: 1.8233, acc: 0.6230
Epoch: [22/100], transfer_loss: 0.1691, kl_loss: 1825.3230, vib_loss: 1.6892, total_Loss: 1.7737, acc: 0.6198
Epoch: [23/100], transfer_loss: 0.1674, kl_loss: 1809.3748, vib_loss: 1.6946, total_Loss: 1.7783, acc: 0.6170
Epoch: [24/100], transfer_loss: 0.1687, kl_loss: 1813.5403, vib_loss: 1.6757, total_Loss: 1.7601, acc: 0.6276
Epoch: [25/100], transfer_loss: 0.1682, kl_loss: 1809.6763, vib_loss: 1.6951, total_Loss: 1.7792, acc: 0.6226
Epoch: [26/100], transfer_loss: 0.1678, kl_loss: 1801.1451, vib_loss: 1.6535, total_Loss: 1.7374, acc: 0.6177
Epoch: [27/100], transfer_loss: 0.1712, kl_loss: 1789.0150, vib_loss: 1.6628, total_Loss: 1.7484, acc: 0.6166
Epoch: [28/100], transfer_loss: 0.1677, kl_loss: 1781.6377, vib_loss: 1.6575, total_Loss: 1.7413, acc: 0.6148
Epoch: [29/100], transfer_loss: 0.1685, kl_loss: 1791.4767, vib_loss: 1.6431, total_Loss: 1.7274, acc: 0.6127
Epoch: [30/100], transfer_loss: 0.1680, kl_loss: 1758.3123, vib_loss: 1.6656, total_Loss: 1.7496, acc: 0.6173
Epoch: [31/100], transfer_loss: 0.1675, kl_loss: 1754.4994, vib_loss: 1.6665, total_Loss: 1.7503, acc: 0.6216
Epoch: [32/100], transfer_loss: 0.1669, kl_loss: 1747.3226, vib_loss: 1.6239, total_Loss: 1.7074, acc: 0.6287
Epoch: [33/100], transfer_loss: 0.1685, kl_loss: 1734.6052, vib_loss: 1.6213, total_Loss: 1.7056, acc: 0.6329
Epoch: [34/100], transfer_loss: 0.1695, kl_loss: 1752.3747, vib_loss: 1.6281, total_Loss: 1.7128, acc: 0.6251
Epoch: [35/100], transfer_loss: 0.1665, kl_loss: 1751.9169, vib_loss: 1.6046, total_Loss: 1.6879, acc: 0.6202
Epoch: [36/100], transfer_loss: 0.1696, kl_loss: 1750.4381, vib_loss: 1.5950, total_Loss: 1.6798, acc: 0.6216
Epoch: [37/100], transfer_loss: 0.1657, kl_loss: 1715.9280, vib_loss: 1.5932, total_Loss: 1.6761, acc: 0.6234
Epoch: [38/100], transfer_loss: 0.1699, kl_loss: 1715.1200, vib_loss: 1.5954, total_Loss: 1.6803, acc: 0.6195
Epoch: [39/100], transfer_loss: 0.1698, kl_loss: 1729.4161, vib_loss: 1.5661, total_Loss: 1.6510, acc: 0.6180
Epoch: [40/100], transfer_loss: 0.1671, kl_loss: 1729.6216, vib_loss: 1.5912, total_Loss: 1.6748, acc: 0.6187
Epoch: [41/100], transfer_loss: 0.1671, kl_loss: 1708.6660, vib_loss: 1.6238, total_Loss: 1.7074, acc: 0.6234
Epoch: [42/100], transfer_loss: 0.1661, kl_loss: 1695.4242, vib_loss: 1.6029, total_Loss: 1.6860, acc: 0.6280
Epoch: [43/100], transfer_loss: 0.1678, kl_loss: 1684.0393, vib_loss: 1.5938, total_Loss: 1.6777, acc: 0.6226
